Time[s], Channel 7
19.059258, 0
19.059266, 1
19.059268, 0
19.059288, 1
19.059294, 0
19.05932, 1
19.059322, 0
19.135118, 1
19.175658, 0
19.17566, 1
19.175662, 0
19.175668, 1
19.175672, 0
19.17569, 1
19.175696, 0
19.175722, 1
19.175724, 0
19.250112, 1
19.292722, 0
19.292724, 1
19.292726, 0
19.292734, 1
19.292736, 0
19.292748, 1
19.29275, 0
19.292756, 1
19.292762, 0
19.292788, 1
19.29279, 0
19.362958, 1
19.400362, 0
19.400364, 1
19.400366, 0
19.400372, 1
19.400376, 0
19.400396, 1
19.4004, 0
19.400426, 1
19.400428, 0
19.468408, 1
19.506992, 0
19.506994, 1
19.506996, 0
19.507002, 1
19.507006, 0
19.507024, 1
19.507032, 0
19.507056, 1
19.50706, 0
19.570006, 1
19.602902, 0
19.602904, 1
19.602906, 0
19.602912, 1
19.602916, 0
19.602934, 1
19.60294, 0
19.602966, 1
19.602968, 0
19.660992, 1
19.693184, 0
19.69319, 1
19.693194, 0
19.693204, 1
19.693206, 0
19.693212, 1
19.693218, 0
19.744964, 1
19.772716, 0
19.772718, 1
19.77272, 0
19.772726, 1
19.77273, 0
19.77275, 1
19.772754, 0
19.822746, 1
19.851882, 0
19.851884, 1
19.851886, 0
19.851892, 1
19.851896, 0
19.851914, 1
19.851922, 0
19.901764, 1
19.929846, 0
19.929848, 1
19.92985, 0
19.929856, 1
19.92986, 0
19.929878, 1
19.929884, 0
19.92991, 1
19.929912, 0
19.983254, 1
20.015076, 0
20.015078, 1
20.01508, 0
20.015088, 1
20.01509, 0
20.015102, 1
20.015104, 0
20.01511, 1
20.015116, 0
20.015142, 1
20.015144, 0
20.07098, 1
20.102518, 0
20.10252, 1
20.102522, 0
20.102528, 1
20.102532, 0
20.10255, 1
20.102556, 0
20.102582, 1
20.102584, 0
20.162502, 1
20.198352, 0
20.198354, 1
20.198356, 0
20.198362, 1
20.198366, 0
20.198386, 1
20.198392, 0
20.260864, 1
20.296298, 0
